Item id,Most popular answer,Unanimous?,No count,Skip count,Yes count,No explanations,Skip explanations,Yes explanations
/government/publications/alcohol-and-tobacco-taxation-revenue,No,"",4,2,0,"It's not even business tax, there has to be somewhere to put it
Not about insurance premium tax.
Content about taxation revenue; not about insurance premium tax.","",""
/government/statistics/announcements/capital-gains-tax-statistics--3,Yes,"",1,1,4,"",suggestion too low down the tree?,"A national statistics announcement. Capital gains tax involves tax on shares, as far as I know.
Capital gains tax includes tax on shares, as I understand it."
/guidance/animals-and-animal-food-notice-70115,Yes,Yes,0,0,3,"","",It probably belongs in both. Retag for greater granularity. This thing is about rules for VAT in a particular trade: animals and animal food. 
/government/news/chancellor-waives-vat-on-jo-cox-charity-single,No,Yes,6,0,0,"Not about foreign entertainer tax rules; about a charity single.
Not about foreign entertainers.
- not suitable suggestion 
duplicate ","",""
/government/publications/fuel-duty-aqua-methanol-set-aside-for-use-or-used-as-fuel-in-any-engine-motor-or-machinery,No,Yes,3,0,0,"Unrelated to software development.
Neither of those suggested taxons seem right. ","",""
/government/news/government-to-donate-vat-on-x-factor-charity-single,No,"",5,1,0,"Not about child benefit (content does mention children's charities, which is probably what causes the issue).
Not about child Benefit overpayments; does mention children's charities.
duplicate","",""
/government/news/press-briefing-morning-14-march-2014,No,Yes,6,0,0,"A press briefing. Not about oil and gas tax, specifically.
A press release not about oil and gas tax.
Weird suggestion
duplicate","",""
/government/publications/obsolete-miscellaneous-statements-of-practice,No,"",2,1,0,Not about software development for HMRC.,Neither taxon seems right,""
/government/collections/gwybodaeth-gorfforaethol-ac-adroddiadau,Skip,"",1,2,0,"",It's in Welsh.,""
/hmrc-internal-manuals/vat-womens-sanitary-products,No,"",2,0,1,"just VAT
I think it belongs in the VAT branch, but the content doesn't mention MOSS.","",""
/government/collections/gwe-rwydo-a-sgamiau,Skip,"",1,2,0,In Welsh.,"",""
/government/publications/fuel-duty-fuel-additives-and-extenders,No,"",2,1,0,Not about software development for HMRC.,"",""
/government/publications/child-trust-fund-ctf-bulletin-84,No,Yes,3,0,0,"Not about software development for HMRC.
- Only one thing tagged to 'New to HMRC development'
- The specialist topic it is tagged to is Tax on savings and investments (https://www.gov.uk/topic/personal-tax/savings-investment-tax) which is a sub of Personal Tax","",""
